DATE,DTWEXM
2013-01-11,73.2962
2013-01-14,73.3054
2013-01-15,73.3087
2013-01-16,73.4525
2013-01-17,73.4673
2013-01-18,73.8888
2013-01-21,.
2013-01-22,73.6783
2013-01-23,73.7734
2013-01-24,73.9448
2013-01-25,74.0123
2013-01-28,73.9942
2013-01-29,73.7794
2013-01-30,73.6266
2013-01-31,73.4909
2013-02-01,73.4267
2013-02-04,73.7754
2013-02-05,73.8148
2013-02-06,73.9221
2013-02-07,74.2894
2013-02-08,74.2812
2013-02-11,74.4146
2013-02-12,74.2146
2013-02-13,74.2555
2013-02-14,74.4740
2013-02-15,74.6156
2013-02-18,.
2013-02-19,74.6724
2013-02-20,74.9189
2013-02-21,75.2774
2013-02-22,75.4853
2013-02-25,75.6246
2013-02-26,75.6869
2013-02-27,75.5640
2013-02-28,75.7396
2013-03-01,76.1824
2013-03-04,76.1620
2013-03-05,76.0746
2013-03-06,76.2646
2013-03-07,76.1442
2013-03-08,76.5413
2013-03-11,76.4852
2013-03-12,76.4075
2013-03-13,76.6204
2013-03-14,76.5022
2013-03-15,75.9397
2013-03-18,76.2320
2013-03-19,76.5076
2013-03-20,76.4233
2013-03-21,76.3321
2013-03-22,76.0305
2013-03-25,76.3102
2013-03-26,76.2416
2013-03-27,76.4888
2013-03-28,76.2220
2013-03-29,76.3538
2013-04-01,76.1008
2013-04-02,76.1659
2013-04-03,76.0281
2013-04-04,76.4323
2013-04-05,76.1241
2013-04-08,76.4708
2013-04-09,76.1556
2013-04-10,76.2642
2013-04-11,75.9461
2013-04-12,76.0456
2013-04-15,76.1658
2013-04-16,76.0466
2013-04-17,76.3942
2013-04-18,76.3846
2013-04-19,76.5611
2013-04-22,76.6091
2013-04-23,76.7481
2013-04-24,76.8284
2013-04-25,76.5537
2013-04-26,76.2324
2013-04-29,76.0030
2013-04-30,75.5569
2013-05-01,75.4898
2013-05-02,75.9185
2013-05-03,75.9041
2013-05-06,76.0783
2013-05-07,75.9909
2013-05-08,75.6481
2013-05-09,75.9053
2013-05-10,76.9488
2013-05-13,76.8815
2013-05-14,77.0830
2013-05-15,77.4867
2013-05-16,77.2805
2013-05-17,77.9178
2013-05-20,77.7056
2013-05-21,77.6053
2013-05-22,78.0983
2013-05-23,77.5548
2013-05-24,77.5448
2013-05-27,.
2013-05-28,77.9816
2013-05-29,77.5929
2013-05-30,77.1792
2013-05-31,77.3766
2013-06-03,76.6554
2013-06-04,77.0209
2013-06-05,76.8385
2013-06-06,75.9329
2013-06-07,75.8662
2013-06-10,76.0560
2013-06-11,75.6874
2013-06-12,75.2524
2013-06-13,75.1393
2013-06-14,75.1127
2013-06-17,75.1746
2013-06-18,75.1593
2013-06-19,75.0907
2013-06-20,76.5190
2013-06-21,76.9177
2013-06-24,77.1211
2013-06-25,77.1244
2013-06-26,77.1798
2013-06-27,77.3588
2013-06-28,77.5759
2013-07-01,77.4363
2013-07-02,77.7689
2013-07-03,77.6792
2013-07-04,.
2013-07-05,78.5419
2013-07-08,78.4896
2013-07-09,78.6603
2013-07-10,78.2665
2013-07-11,77.2222
2013-07-12,77.3177
2013-07-15,77.4743
2013-07-16,77.0024
2013-07-17,77.2159
2013-07-18,77.3286
2013-07-19,77.0027
2013-07-22,76.6676
2013-07-23,76.5782
